FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130901;0000;0,762502;;;
130902;0000;0,829169;;;
130903;0000;0,329168;;;
130904;0000;0,625002;;;
130905;0000;0,504169;;;
130906;0000;0,704168;;;
130907;0000;0,391668;;;
130908;0000;0,208334;;;
130909;0000;1,1375;;;
130910;0000;0,808335;;;
130911;0000;0,925003;;;
130912;0000;1,2625;;;
130913;0000;2,22917;;;
130914;0000;2,48334;;;
130915;0000;2,47501;;;
130916;0000;0,816669;;;
130917;0000;0,195834;;;
130918;0000;0,195834;;;
130919;0000;0,125;;;
130920;0000;0,15;;;
130921;0000;0,350001;;;
130922;0000;0,741669;;;
130923;0000;0,645835;;;
130924;0000;1,52917;;;
130925;0000;0,400001;;;
130926;0000;0,779169;;;
130927;0000;1,40834;;;
130928;0000;0,491668;;;
130929;0000;0,687502;;;
130930;0000;1,07084;;;
131001;0000;0,733335;;;
131002;0000;0,995836;;;
131003;0000;0,841669;;;
131004;0000;0,550001;;;
131005;0000;0,554168;;;
131006;0000;0,537501;;;
131007;0000;1;;;
131008;0000;0,975003;;;
131009;0000;0,425001;;;
131010;0000;1,10417;;;
131011;0000;1,125;;;
131012;0000;0,350001;;;
131013;0000;0,216667;;;
131014;0000;0,525002;;;
131015;0000;0,658336;;;
131016;0000;0,591668;;;
131017;0000;0,404349;;;
131018;0000;0,529168;;;
131019;0000;0,316668;;;
131020;0000;0,700002;;;
131021;0000;0,778263;;;
131022;0000;0,637502;;;
131023;0000;1,05;;;
131024;0000;0,533335;;;
131025;0000;0,247827;;;
131026;0000;0,295834;;;
131027;0000;0,329167;;;
131028;0000;0,704168;;;
131029;0000;0,387501;;;
131030;0000;0,1625;;;
131031;0000;0,166667;;;
131101;0000;0,108333;;;
131102;0000;0,383334;;;
131103;0000;0,462502;;;
131104;0000;0,691669;;;
131105;0000;0,216667;;;
131106;0000;0,158334;;;
131107;0000;0,333334;;;
131108;0000;1,22174;;;
131109;0000;0,500001;;;
131110;0000;0,183334;;;
131111;0000;0,420835;;;
131112;0000;0,354167;;;
131113;0000;0,612502;;;
131114;0000;0,145834;;;
131115;0000;0,104167;;;
131116;0000;0,141667;;;
131117;0000;0,1625;;;
131118;0000;0,25;;;
131119;0000;0,266668;;;
131120;0000;0,154167;;;
131121;0000;0,195834;;;
131122;0000;0,166667;;;
131123;0000;0,204167;;;
131124;0000;0,491668;;;
131125;0000;0,591668;;;
131126;0000;0,313045;;;
131127;0000;0,108333;;;
131128;0000;0,170834;;;
131129;0000;0,1;;;
131130;0000;0,120834;;;
131201;0000;0,104167;;;
131202;0000;0,195834;;;
131203;0000;0,1625;;;
131204;0000;0,1;;;
131205;0000;0,1;;;
131206;0000;0,1;;;
131207;0000;0,1;;;
131208;0000;0,1;;;
131209;0000;0,1;;;
131210;0000;0,1;;;
131211;0000;0,1;;;
131212;0000;0,1;;;
131213;0000;0,1;;;
131214;0000;0,1;;;
131215;0000;0,1;;;
131216;0000;;;;
131217;0000;;;;
131218;0000;;;;
131219;0000;;;;
131220;0000;0,158334;;;
131221;0000;0,145834;;;
131222;0000;0,154167;;;
131223;0000;0,226088;;;
131224;0000;0,183334;;;
131225;0000;0,212501;;;
131226;0000;0,129167;;;
131227;0000;0,125;;;
131228;0000;0,154167;;;
131229;0000;0,158334;;;
131230;0000;0,1;;;
131231;0000;0,345834;;;
140101;0000;0,216094;;;
140102;0000;0,253644;;;
140103;0000;0,146443;;;
140104;0000;0,115796;;;
140105;0000;0,1;;;
140106;0000;0,150164;;;
140107;0000;0,257976;;;
140108;0000;0,294018;;;
140109;0000;0,281614;;;
140110;0000;0,347117;;;
140111;0000;0,238095;;;
140112;0000;0,181224;;;
140113;0000;0,117666;;;
140114;0000;0,113099;;;
140115;0000;0,118861;;;
140116;0000;0,105329;;;
140117;0000;0,256068;;;
140118;0000;0,189821;;;
140119;0000;0,119462;;;
140120;0000;0,232933;;;
140121;0000;0,260127;;;
140122;0000;0,511997;;;
140123;0000;0,743949;;;
140124;0000;0,403533;;;
140125;0000;0,165781;;;
140126;0000;0,113266;;;
140127;0000;0,156869;;;
140128;0000;0,232011;;;
140129;0000;0,322524;;;
140130;0000;0,123363;;;
140131;0000;0,118031;;;
140201;0000;0,220834;;;
140202;0000;0,200001;;;
140203;0000;0,220834;;;
140204;0000;0,337501;;;
140205;0000;0,291667;;;
140206;0000;0,208334;;;
140207;0000;0,308334;;;
140208;0000;0,266667;;;
140209;0000;0,225001;;;
140210;0000;0,379168;;;
140211;0000;0,237501;;;
