FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
140101;0000;6,91391;;;
140102;0000;7,37885;;;
140103;0000;6,34064;;;
140104;0000;7,50939;;;
140105;0000;7,3153;;;
140106;0000;9,81274;;;
140107;0000;12,0969;;;
140108;0000;9,80107;;;
140109;0000;11,0695;;;
140110;0000;9,35594;;;
140111;0000;9,22746;;;
140112;0000;7,26426;;;
140113;0000;7,83626;;;
140114;0000;11,2292;;;
140115;0000;10,9132;;;
140116;0000;7,07953;;;
140117;0000;4,7396;;;
140118;0000;10,1632;;;
140119;0000;10,1271;;;
140120;0000;8,24615;;;
140121;0000;8,77676;;;
140122;0000;9,16391;;;
140123;0000;7,87537;;;
140124;0000;5,95974;;;
140125;0000;6,98266;;;
140126;0000;6,71842;;;
140127;0000;9,24677;;;
140128;0000;9,06738;;;
140129;0000;5,12502;;;
140130;0000;7,49413;;;
140131;0000;7,90524;;;
140201;0000;9,08336;;;
140202;0000;6,75835;;;
140203;0000;6,37502;;;
140204;0000;6,25835;;;
140205;0000;7,87502;;;
140206;0000;7,80836;;;
140207;0000;7,42085;;;
140208;0000;8,09169;;;
140209;0000;8,17502;;;
140210;0000;5,02085;;;
140211;0000;15,0917;;;
140212;0000;13,125;;;
140213;0000;10,9709;;;
140214;0000;9,98753;;;
140215;0000;10,95;;;
140216;0000;9,35419;;;
140217;0000;8,62918;;;
140218;0000;10,8792;;;
140219;0000;8,40419;;;
140220;0000;7,90002;;;
140221;0000;7,63752;;;
140222;0000;7,7542;;;
140223;0000;8,55836;;;
140224;0000;8,63753;;;
140225;0000;10,2709;;;
140226;0000;12,975;;;
140227;0000;13,9542;;;
140228;0000;13,0042;;;
140301;0000;13,225;;;
140302;0000;11,8709;;;
140303;0000;10,8209;;;
140304;0000;15,9167;;;
140305;0000;14,85;;;
140306;0000;17,0292;;;
140307;0000;16,2625;;;
140308;0000;18,2251;;;
140309;0000;15,8174;;;
140310;0000;13,2625;;;
140311;0000;13,1167;;;
140312;0000;16,9709;;;
140313;0000;15,0417;;;
140314;0000;15,3542;;;
140315;0000;12,1959;;;
140316;0000;11,2542;;;
140317;0000;9,15221;;;
140318;0000;12,1417;;;
140319;0000;12,6042;;;
140320;0000;17,2209;;;
140321;0000;15,4875;;;
140322;0000;12,85;;;
140323;0000;19,1959;;;
140324;0000;12,8392;;;
140325;0000;10,9917;;;
140326;0000;6,70419;;;
140327;0000;5,05418;;;
140328;0000;10,5334;;;
140329;0000;11,6542;;;
140330;0000;13,2792;;;
140331;0000;18,35;;;
140401;0000;8,91055;;;
140402;0000;9,26193;;;
140403;0000;6,33752;;;
140404;0000;6,15835;;;
140405;0000;6,06668;;;
140406;0000;5,59585;;;
140407;0000;4,08751;;;
140408;0000;7,26524;;;
140409;0000;7,54169;;;
140410;0000;8,9417;;;
140411;0000;13,1667;;;
140412;0000;5,85835;;;
140413;0000;6,61668;;;
140414;0000;5,49168;;;
140415;0000;12,5875;;;
140416;0000;10,2167;;;
140417;0000;11,0959;;;
140418;0000;15,8;;;
140419;0000;10,4042;;;
140420;0000;6,63335;;;
140421;0000;4,92918;;;
140422;0000;6,85835;;;
140423;0000;6,19585;;;
140424;0000;5,55002;;;
140425;0000;4,92085;;;
140426;0000;10,0875;;;
140427;0000;15,0792;;;
140428;0000;12,2542;;;
140429;0000;8,77394;;;
140430;0000;11,9542;;;
140501;0000;14,1292;;;
140502;0000;8,27086;;;
140503;0000;11,175;;;
140504;0000;17,4042;;;
140505;0000;14,2334;;;
140506;0000;13,8042;;;
140507;0000;10,7875;;;
140508;0000;6,47919;;;
140509;0000;12,6334;;;
140510;0000;15,3875;;;
140511;0000;12,0459;;;
140512;0000;17,987;;;
140513;0000;15,8584;;;
140514;0000;23,0917;;;
140515;0000;8,93335;;;
140516;0000;12,4084;;;
140517;0000;15,125;;;
140518;0000;12,4667;;;
140519;0000;11,0709;;;
140520;0000;10,3218;;;
140521;0000;13,2209;;;
140522;0000;10,1417;;;
140523;0000;10,1209;;;
140524;0000;10,425;;;
140525;0000;16,9959;;;
140526;0000;16,0542;;;
140527;0000;15,7609;;;
140528;0000;7,95419;;;
140529;0000;11,5625;;;
140530;0000;10,2417;;;
140531;0000;8,36668;;;
140601;0000;12,5667;;;
140602;0000;6,90002;;;
140603;0000;10,6783;;;
140604;0000;16,6959;;;
140605;0000;8,47086;;;
140606;0000;11,4292;;;
140607;0000;9,33752;;;
140608;0000;7,02918;;;
140609;0000;11,6834;;;
140610;0000;16,787;;;
140611;0000;10,9209;;;
140612;0000;15,1875;;;
140613;0000;13,0042;;;
140614;0000;9,07503;;;
140615;0000;14,9542;;;
140616;0000;17,9167;;;
140617;0000;16,1348;;;
140618;0000;15,5959;;;
140619;0000;19,7417;;;
140620;0000;12,4959;;;
140621;0000;5,50002;;;
140622;0000;5,35001;;;
140623;0000;13,6375;;;
140624;0000;17,1417;;;
140625;0000;15,8667;;;
140626;0000;15,8542;;;
140627;0000;16,075;;;
140628;0000;15,2084;;;
140629;0000;17,3917;;;
140630;0000;10,25;;;
140701;0000;16,6709;;;
140702;0000;18,0292;;;
140703;0000;12,6913;;;
140704;0000;16,8042;;;
140705;0000;11,85;;;
140706;0000;18,1334;;;
140707;0000;19,2126;;;
140708;0000;19,8542;;;
140709;0000;19,8566;;;
140710;0000;6,91581;;;
140711;0000;;;;
140712;0000;;;;
140713;0000;12,0917;;;
140714;0000;6,15835;;;
140715;0000;10,3292;;;
140716;0000;12,2875;;;
140717;0000;11,2209;;;
140718;0000;9,22086;;;
140719;0000;10,3084;;;
140720;0000;16,0251;;;
140721;0000;16,9435;;;
140722;0000;20,3417;;;
140723;0000;23,3584;;;
140724;0000;22,1251;;;
140725;0000;19,6667;;;
140726;0000;19,7261;;;
140727;0000;11,5834;;;
140728;0000;12,65;;;
140729;0000;11,8125;;;
140730;0000;10,3584;;;
140731;0000;13,525;;;
140801;0000;10,1375;;;
140802;0000;18,6542;;;
140803;0000;22,4042;;;
140804;0000;20,9626;;;
140805;0000;8,86252;;;
140806;0000;16,3417;;;
140807;0000;14,7375;;;
140808;0000;15,6334;;;
140809;0000;18,4584;;;
140810;0000;19,9292;;;
140811;0000;17,1959;;;
140812;0000;18,3522;;;
140813;0000;17,5834;;;
140814;0000;15,5;;;
140815;0000;13,0125;;;
140816;0000;12,3167;;;
140817;0000;14,7084;;;
140818;0000;16,4392;;;
140819;0000;15,2876;;;
140820;0000;14,875;;;
140821;0000;14,9126;;;
140822;0000;11,0875;;;
140823;0000;9,03336;;;
140824;0000;13,1542;;;
140825;0000;14,174;;;
140826;0000;13,75;;;
140827;0000;13,4875;;;
140828;0000;15,3792;;;
140829;0000;12,4667;;;
140830;0000;12,0875;;;
140831;0000;20,6584;;;
140901;0000;5,46958;;;
140902;0000;7,67502;;;
140903;0000;8,6682;;;
140904;0000;14,5292;;;
140905;0000;7,00002;;;
140906;0000;14,775;;;
140907;0000;15,6875;;;
140908;0000;13,825;;;
140909;0000;21,0001;;;
140910;0000;19,2042;;;
140911;0000;19,1125;;;
140912;0000;20,6042;;;
140913;0000;21,1251;;;
140914;0000;21,7876;;;
140915;0000;20,9174;;;
140916;0000;22,2584;;;
140917;0000;21,6792;;;
140918;0000;17,95;;;
140919;0000;15,4626;;;
140920;0000;11,3375;;;
140921;0000;20,0042;;;
140922;0000;21,8827;;;
140923;0000;19,1792;;;
140924;0000;23,6376;;;
140925;0000;21,3959;;;
140926;0000;19,2876;;;
140927;0000;19,5834;;;
140928;0000;18,1167;;;
140929;0000;17,3542;;;
140930;0000;17,8959;;;
141001;0000;13,1;;;
141002;0000;10,9584;;;
141003;0000;11,1042;;;
141004;0000;18,1709;;;
141005;0000;20,9709;;;
141006;0000;19,6792;;;
141007;0000;19,2834;;;
141008;0000;19,6042;;;
141009;0000;17,9542;;;
141010;0000;19,5751;;;
141011;0000;20,5959;;;
141012;0000;22,4376;;;
141013;0000;23,2827;;;
141014;0000;17,9875;;;
141015;0000;13,9834;;;
141016;0000;19,3875;;;
141017;0000;14,4459;;;
141018;0000;14,9375;;;
141019;0000;13,4125;;;
141020;0000;13,4125;;;
141021;0000;21,5292;;;
141022;0000;20,1459;;;
141023;0000;20,5667;;;
141024;0000;20,6376;;;
141025;0000;21,7584;;;
141026;0000;23,7126;;;
141027;0000;19,9044;;;
141028;0000;20,7459;;;
141029;0000;21,6209;;;
141030;0000;20,3751;;;
141031;0000;19,6709;;;
141101;0000;16,9584;;;
141102;0000;14,45;;;
141103;0000;16,8455;;;
141104;0000;19,1459;;;
141105;0000;22,4417;;;
141106;0000;21,3667;;;
141107;0000;22,6459;;;
141108;0000;18,3875;;;
141109;0000;18,075;;;
141110;0000;21,8479;;;
141111;0000;21,0834;;;
141112;0000;19,6209;;;
141113;0000;18,6334;;;
141114;0000;15,1584;;;
141115;0000;16,6542;;;
141116;0000;15,7167;;;
141117;0000;20,6175;;;
141118;0000;20,7709;;;
141119;0000;19,0435;;;
141120;0000;16,4653;;;
141121;0000;17,1667;;;
141122;0000;17,3751;;;
141123;0000;19,0917;;;
141124;0000;19,1914;;;
141125;0000;21,5376;;;
141126;0000;19,9959;;;
141127;0000;19,1375;;;
141128;0000;17,4334;;;
141129;0000;18,3334;;;
141130;0000;16,4001;;;
141201;0000;17,9044;;;
141202;0000;21,4167;;;
141203;0000;18,8251;;;
141204;0000;15,4709;;;
141205;0000;16,9917;;;
141206;0000;17,7792;;;
141207;0000;20,0959;;;
141208;0000;21,7709;;;
141209;0000;18,3042;;;
141210;0000;14,1087;;;
141211;0000;12,0292;;;
141212;0000;11,5042;;;
141213;0000;12,6625;;;
141214;0000;11,0917;;;
