FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130901;0000;105,292;;;
130902;0000;98,6666;;;
130903;0000;80,5416;;;
130904;0000;112,625;;;
130905;0000;103,958;;;
130906;0000;119,333;;;
130907;0000;73,3333;;;
130908;0000;71,5416;;;
130909;0000;125,958;;;
130910;0000;77;;;
130911;0000;102,958;;;
130912;0000;118,75;;;
130913;0000;178,833;;;
130914;0000;199,625;;;
130915;0000;202,875;;;
130916;0000;108,792;;;
130917;0000;54,7916;;;
130918;0000;52,7083;;;
130919;0000;34,7083;;;
130920;0000;50,125;;;
130921;0000;67;;;
130922;0000;93,5;;;
130923;0000;85,0416;;;
130924;0000;148,875;;;
130925;0000;73,875;;;
130926;0000;94,9166;;;
130927;0000;140,5;;;
130928;0000;93,7083;;;
130929;0000;75,3333;;;
130930;0000;89,2083;;;
131001;0000;54,625;;;
131002;0000;58,125;;;
131003;0000;59,6666;;;
131004;0000;34,2083;;;
131005;0000;35,875;;;
131006;0000;37,7083;;;
131007;0000;58,375;;;
131008;0000;58,8333;;;
131009;0000;29,625;;;
131010;0000;68,2083;;;
131011;0000;56,7916;;;
131012;0000;31,9583;;;
131013;0000;23,375;;;
131014;0000;37,1666;;;
131015;0000;29,4583;;;
131016;0000;27,7917;;;
131017;0000;17,9167;;;
131018;0000;26,3333;;;
131019;0000;18,75;;;
131020;0000;27,8333;;;
131021;0000;33,3333;;;
131022;0000;29,2917;;;
131023;0000;50,6666;;;
131024;0000;29,125;;;
131025;0000;18,4167;;;
131026;0000;26,5833;;;
131027;0000;28,75;;;
131028;0000;48;;;
131029;0000;38,7916;;;
131030;0000;32,75;;;
131031;0000;30,7917;;;
131101;0000;14,875;;;
131102;0000;33,875;;;
131103;0000;38;;;
131104;0000;37,5833;;;
131105;0000;22,1667;;;
131106;0000;18,9167;;;
131107;0000;24,6667;;;
131108;0000;67,6666;;;
131109;0000;35,375;;;
131110;0000;22,9167;;;
131111;0000;36,7083;;;
131112;0000;47,0416;;;
131113;0000;81,7916;;;
131114;0000;30,8333;;;
131115;0000;23,625;;;
131116;0000;20,75;;;
131117;0000;28,4167;;;
131118;0000;23,9167;;;
131119;0000;19;;;
131120;0000;15,0417;;;
131121;0000;21;;;
131122;0000;17,5833;;;
131123;0000;20,125;;;
131124;0000;33,5416;;;
131125;0000;37,5;;;
131126;0000;20,3333;;;
131127;0000;20,2083;;;
131128;0000;19,25;;;
131129;0000;17,2083;;;
131130;0000;13,7083;;;
131201;0000;12,5;;;
131202;0000;22,0833;;;
131203;0000;18,7917;;;
131204;0000;19,5;;;
131205;0000;19;;;
131206;0000;14,2917;;;
131207;0000;13,7917;;;
131208;0000;10,9583;;;
131209;0000;13,9167;;;
131210;0000;12,2083;;;
131211;0000;13,4783;;;
131212;0000;13,25;;;
131213;0000;13,3333;;;
131214;0000;8,625;;;
131215;0000;5,54166;;;
131216;0000;6,66666;;;
131217;0000;7,70833;;;
131218;0000;9,66666;;;
131219;0000;12,0417;;;
131220;0000;7,83333;;;
131221;0000;10,625;;;
131222;0000;9,16666;;;
131223;0000;9,79166;;;
131224;0000;10,6667;;;
131225;0000;13,125;;;
131226;0000;10,1667;;;
131227;0000;13,9583;;;
131228;0000;14,25;;;
131229;0000;16,4167;;;
131230;0000;11,125;;;
131231;0000;30,5417;;;
140101;0000;19,4167;;;
140102;0000;21,875;;;
140103;0000;16,0833;;;
140104;0000;13,9167;;;
140105;0000;8,16666;;;
140106;0000;13,125;;;
140107;0000;12,5;;;
140108;0000;15,625;;;
140109;0000;14;;;
140110;0000;12,875;;;
140111;0000;8,79166;;;
140112;0000;7,45833;;;
140113;0000;5,70833;;;
140114;0000;7,79166;;;
140115;0000;9,08333;;;
140116;0000;6,375;;;
140117;0000;13,1667;;;
140118;0000;7,66666;;;
140119;0000;4,66666;;;
140120;0000;10,7083;;;
140121;0000;14,4167;;;
140122;0000;23,75;;;
140123;0000;30,75;;;
140124;0000;18,875;;;
140125;0000;11,875;;;
140126;0000;9,54166;;;
140127;0000;10,25;;;
140128;0000;13,375;;;
140129;0000;20,3333;;;
140130;0000;10,5;;;
140131;0000;13,9167;;;
140201;0000;16,5417;;;
140202;0000;13,8333;;;
140203;0000;16,0833;;;
140204;0000;25,875;;;
140205;0000;16,7917;;;
140206;0000;16,375;;;
140207;0000;15,8333;;;
140208;0000;15,375;;;
140209;0000;12,5833;;;
140210;0000;14,0417;;;
140211;0000;13,7917;;;
140212;0000;22,5;;;
140213;0000;19,7083;;;
140214;0000;23,1667;;;
140215;0000;16,0869;;;
140216;0000;8,83333;;;
140217;0000;;;;
140218;0000;;;;
140219;0000;20,5217;;;
140220;0000;11,3333;;;
140221;0000;10,9167;;;
140222;0000;11,0833;;;
140223;0000;8,91666;;;
140224;0000;28,125;;;
140225;0000;26,1667;;;
140226;0000;16,4167;;;
140227;0000;12,3636;;;
140228;0000;23,6364;;;
140301;0000;10,875;;;
140302;0000;7,375;;;
140303;0000;12,3333;;;
140304;0000;13,75;;;
140305;0000;;;6,45833;
140306;0000;;;9,20833;
140307;0000;23,4545;;;
140308;0000;19,75;;;
140309;0000;20,375;;;
140310;0000;29,0833;;;
140311;0000;23,0417;;;
140312;0000;33,0416;;;
140313;0000;23,0417;;;
140314;0000;28,3333;;;
140315;0000;54,5416;;;
140316;0000;44,8333;;;
140317;0000;39,8333;;;
140318;0000;37,125;;;
140319;0000;26,875;;;
140320;0000;24,8333;;;
140321;0000;30,9583;;;
140322;0000;13,5833;;;
140323;0000;45,25;;;
140324;0000;48,4583;;;
140325;0000;23,875;;;
140326;0000;16,125;;;
140327;0000;26,3333;;;
140328;0000;48,8333;;;
140329;0000;47,125;;;
140330;0000;43,1666;;;
140331;0000;139,625;;;
