FECHA,PM25,PM10,O3,CO
2013-09-01,105.292,107.458,0.0,0.762502
2013-09-02,98.6666,108.625,0.0,0.829169
2013-09-03,80.5416,88.0833,0.0,0.329168
2013-09-04,112.625,114.208,0.0,0.625002
2013-09-05,103.958,108.792,0.0,0.504169
2013-09-06,119.333,121.542,0.0,0.704168
2013-09-07,73.3333,77.9583,0.0,0.391668
2013-09-08,71.5416,72.875,0.0,0.208334
2013-09-09,125.958,130.833,0.0,1.1375
2013-09-10,77.0,80.5416,0.0,0.808335
2013-09-11,102.958,118.042,0.0,0.925003
2013-09-12,118.75,134.667,0.0,1.2625
2013-09-13,178.833,211.042,0.0,2.22917
2013-09-14,199.625,234.375,0.0,2.48334
2013-09-15,202.875,241.0,0.0,2.47501
2013-09-16,108.792,134.917,0.0,0.816669
2013-09-17,54.7916,63.9583,0.0,0.195834
2013-09-18,52.7083,57.875,0.0,0.195834
2013-09-19,34.7083,36.8333,0.0,0.125
2013-09-20,50.125,52.9166,0.0,0.15
2013-09-21,67.0,73.2083,0.0,0.350001
2013-09-22,93.5,102.833,0.0,0.741669
2013-09-23,85.0416,105.375,0.0,0.645835
2013-09-24,148.875,201.417,0.0,1.52917
2013-09-25,73.875,99.5416,0.0,0.400001
2013-09-26,94.9166,108.458,0.0,0.779169
2013-09-27,140.5,167.208,0.0,1.40834
2013-09-28,93.7083,122.917,0.0,0.491668
2013-09-29,75.3333,91.8333,0.0,0.687502
2013-09-30,89.2083,117.542,0.0,1.07084
2013-10-01,54.625,63.4583,0.0,0.733335
2013-10-02,58.125,67.0,0.0,0.995836
2013-10-03,59.6666,71.7083,0.0,0.841669
2013-10-04,34.2083,40.5833,0.0,0.550001
2013-10-05,35.875,43.75,0.0,0.554168
2013-10-06,37.7083,46.0416,0.0,0.537501
2013-10-07,58.375,80.25,0.0,1.0
2013-10-08,58.8333,75.6666,0.0,0.975003
2013-10-09,29.625,46.4583,0.0,0.425001
2013-10-10,68.2083,81.5833,0.0,1.10417
2013-10-11,56.7916,70.7916,0.0,1.125
2013-10-12,31.9583,43.2083,0.0,0.350001
2013-10-13,23.375,28.7917,0.0,0.216667
2013-10-14,37.1666,41.875,0.0,0.525002
2013-10-15,29.4583,31.75,0.0,0.658336
2013-10-16,27.7917,33.7083,0.0,0.591668
2013-10-17,17.9167,25.5,0.0,0.404349
2013-10-18,26.3333,39.1666,0.0,0.529168
2013-10-19,18.75,31.6667,0.0,0.316668
2013-10-20,27.8333,34.2916,0.0,0.700002
2013-10-21,33.3333,39.2083,0.0,0.778263
2013-10-22,29.2917,36.125,0.0,0.637502
2013-10-23,50.6666,63.9166,0.0,1.05
2013-10-24,29.125,39.9583,0.0,0.533335
2013-10-25,18.4167,38.0833,0.0,0.247827
2013-10-26,26.5833,41.0416,0.0,0.295834
2013-10-27,28.75,44.3333,0.0,0.329167
2013-10-28,48.0,104.625,0.0,0.704168
2013-10-29,38.7916,68.625,0.0,0.387501
2013-10-30,32.75,50.4583,0.0,0.1625
2013-10-31,30.7917,23.0833,0.0,0.166667
2013-11-01,14.875,25.9167,0.0,0.108333
2013-11-02,33.875,45.2083,0.0,0.383334
2013-11-03,38.0,47.0833,0.0,0.462502
2013-11-04,37.5833,56.0833,0.0,0.691669
2013-11-05,22.1667,41.375,0.0,0.216667
2013-11-06,18.9167,22.75,0.0,0.158334
