fecha,producto,ventas
2019-01-01,Laptop,1154.95
2019-01-02,Laptop,968.42
2019-01-03,Laptop,1212.8
2019-01-04,Laptop,1486.98
2019-01-05,Laptop,953.73
2019-01-06,Laptop,958.52
2019-01-07,Laptop,1526.91
2019-01-08,Laptop,1280.9
2019-01-09,Laptop,898.93
2019-01-10,Laptop,1222.52
2019-01-11,Laptop,909.59
2019-01-12,Laptop,913.22
2019-01-13,Laptop,1144.0
2019-01-14,Laptop,456.52
2019-01-15,Laptop,519.49
2019-01-16,Laptop,899.14
2019-01-17,Laptop,756.4
2019-01-18,Laptop,1194.37
2019-01-19,Laptop,797.72
2019-01-20,Laptop,634.66
2019-01-21,Laptop,1592.45
2019-01-22,Laptop,1035.67
2019-01-23,Laptop,1138.3
2019-01-24,Laptop,641.54
2019-01-25,Laptop,941.4
2019-01-26,Laptop,1167.43
2019-01-27,Laptop,742.74
2019-01-28,Laptop,1267.45
2019-01-29,Laptop,937.55
2019-01-30,Laptop,1047.66
2019-01-31,Laptop,944.54
2019-02-01,Laptop,1799.96
2019-02-02,Laptop,1156.7
2019-02-03,Laptop,795.83
2019-02-04,Laptop,1458.73
2019-02-05,Laptop,744.17
2019-02-06,Laptop,1252.26
2019-02-07,Laptop,487.32
2019-02-08,Laptop,713.8
2019-02-09,Laptop,1260.95
2019-02-10,Laptop,1459.24
2019-02-11,Laptop,1260.11
2019-02-12,Laptop,1160.62
2019-02-13,Laptop,1097.17
2019-02-14,Laptop,673.21
2019-02-15,Laptop,951.44
2019-02-16,Laptop,1048.9
2019-02-17,Laptop,1607.73
2019-02-18,Laptop,1350.28
2019-02-19,Laptop,578.26
2019-02-20,Laptop,1350.49
2019-02-21,Laptop,1091.52
2019-02-22,Laptop,986.02
2019-02-23,Laptop,1468.03
2019-02-24,Laptop,1628.06
2019-02-25,Laptop,1594.68
2019-02-26,Laptop,934.81
2019-02-27,Laptop,1136.03
2019-02-28,Laptop,1379.66
2019-03-01,Laptop,1625.69
2019-03-02,Laptop,1079.07
2019-03-03,Laptop,1192.43
2019-03-04,Laptop,845.29
2019-03-05,Laptop,812.7
2019-03-06,Laptop,1579.43
2019-03-07,Laptop,1789.69
2019-03-08,Laptop,1246.71
2019-03-09,Laptop,1660.53
2019-03-10,Laptop,1416.94
2019-03-11,Laptop,1032.4
2019-03-12,Laptop,1420.94
2019-03-13,Laptop,1875.98
2019-03-14,Laptop,1271.5
2019-03-15,Laptop,1890.92
2019-03-16,Laptop,275.8
2019-03-17,Laptop,1607.73
2019-03-18,Laptop,1324.73
2019-03-19,Laptop,1176.31
2019-03-20,Laptop,1328.96
2019-03-21,Laptop,522.58
2019-03-22,Laptop,1209.98
2019-03-23,Laptop,1435.07
2019-03-24,Laptop,1872.02
2019-03-25,Laptop,1095.9
2019-03-26,Laptop,983.37
2019-03-27,Laptop,1103.27
2019-03-28,Laptop,1655.98
2019-03-29,Laptop,1427.7
2019-03-30,Laptop,1093.2
2019-03-31,Laptop,1500.09
2019-04-01,Laptop,1337.86
2019-04-02,Laptop,1677.74
2019-04-03,Laptop,1026.09
2019-04-04,Laptop,1171.91
2019-04-05,Laptop,1146.53
2019-04-06,Laptop,728.67
2019-04-07,Laptop,1413.89
2019-04-08,Laptop,1399.63
2019-04-09,Laptop,1299.32
2019-04-10,Laptop,1205.35
2019-04-11,Laptop,745.58
2019-04-12,Laptop,1131.47
2019-04-13,Laptop,1160.85
2019-04-14,Laptop,981.65
2019-04-15,Laptop,1229.14
2019-04-16,Laptop,1446.8
2019-04-17,Laptop,2018.45
2019-04-18,Laptop,1355.05
2019-04-19,Laptop,1385.48
2019-04-20,Laptop,1255.82
2019-04-21,Laptop,544.39
2019-04-22,Laptop,1270.87
2019-04-23,Laptop,1302.33
2019-04-24,Laptop,2221.17
2019-04-25,Laptop,1201.68
2019-04-26,Laptop,1388.36
2019-04-27,Laptop,1257.77
2019-04-28,Laptop,823.92
2019-04-29,Laptop,1700.6
2019-04-30,Laptop,1549.14
2019-05-01,Laptop,1560.88
2019-05-02,Laptop,915.48
2019-05-03,Laptop,1784.99
2019-05-04,Laptop,726.38
2019-05-05,Laptop,1470.99
2019-05-06,Laptop,2067.95
2019-05-07,Laptop,875.01
2019-05-08,Laptop,1030.95
2019-05-09,Laptop,1275.89
2019-05-10,Laptop,1049.05
2019-05-11,Laptop,659.12
2019-05-12,Laptop,1254.45
2019-05-13,Laptop,835.15
2019-05-14,Laptop,1396.04
2019-05-15,Laptop,882.67
2019-05-16,Laptop,1780.4
2019-05-17,Laptop,926.96
2019-05-18,Laptop,1091.27
2019-05-19,Laptop,1498.13
2019-05-20,Laptop,757.15
2019-05-21,Laptop,1278.2
2019-05-22,Laptop,1660.29
2019-05-23,Laptop,615.42
2019-05-24,Laptop,1250.2
2019-05-25,Laptop,1272.52
2019-05-26,Laptop,1452.24
2019-05-27,Laptop,737.17
2019-05-28,Laptop,705.24
2019-05-29,Laptop,1345.77
2019-05-30,Laptop,1262.5
2019-05-31,Laptop,1241.6
2019-06-01,Laptop,1269.94
2019-06-02,Laptop,912.11
2019-06-03,Laptop,1220.87
2019-06-04,Laptop,1236.72
2019-06-05,Laptop,889.53
2019-06-06,Laptop,1758.6
2019-06-07,Laptop,1282.41
2019-06-08,Laptop,718.49
2019-06-09,Laptop,1332.6
2019-06-10,Laptop,784.38
2019-06-11,Laptop,1364.29
2019-06-12,Laptop,1480.75
2019-06-13,Laptop,824.6
2019-06-14,Laptop,1403.75
2019-06-15,Laptop,1218.31
2019-06-16,Laptop,1345.23
2019-06-17,Laptop,1685.31
2019-06-18,Laptop,990.39
2019-06-19,Laptop,823.45
2019-06-20,Laptop,776.4
2019-06-21,Laptop,795.99
2019-06-22,Laptop,1024.58
2019-06-23,Laptop,1150.56
2019-06-24,Laptop,1124.84
2019-06-25,Laptop,1289.97
2019-06-26,Laptop,1032.37
2019-06-27,Laptop,1469.4
2019-06-28,Laptop,937.23
2019-06-29,Laptop,1839.49
2019-06-30,Laptop,1196.9
2019-07-01,Laptop,744.77
2019-07-02,Laptop,676.98
2019-07-03,Laptop,1135.88
2019-07-04,Laptop,920.92
2019-07-05,Laptop,1192.27
2019-07-06,Laptop,1115.46
2019-07-07,Laptop,950.41
2019-07-08,Laptop,720.97
2019-07-09,Laptop,524.47
2019-07-10,Laptop,828.16
2019-07-11,Laptop,1195.53
2019-07-12,Laptop,1006.83
2019-07-13,Laptop,589.33
2019-07-14,Laptop,984.57
2019-07-15,Laptop,1038.52
2019-07-16,Laptop,680.39
2019-07-17,Laptop,963.37
2019-07-18,Laptop,931.93
2019-07-19,Laptop,598.62
2019-07-20,Laptop,1003.32
2019-07-21,Laptop,1052.79
2019-07-22,Laptop,1187.54
2019-07-23,Laptop,1173.32
2019-07-24,Laptop,520.22
2019-07-25,Laptop,633.8
2019-07-26,Laptop,1012.73
2019-07-27,Laptop,1006.98
2019-07-28,Laptop,1001.94
2019-07-29,Laptop,1860.96
2019-07-30,Laptop,1005.71
2019-07-31,Laptop,1145.09
2019-08-01,Laptop,1092.79
2019-08-02,Laptop,1010.34
2019-08-03,Laptop,761.26
2019-08-04,Laptop,1026.87
2019-08-05,Laptop,639.2
2019-08-06,Laptop,769.05
2019-08-07,Laptop,703.73
2019-08-08,Laptop,839.64
2019-08-09,Laptop,1381.64
2019-08-10,Laptop,356.86
2019-08-11,Laptop,973.61
2019-08-12,Laptop,414.73
2019-08-13,Laptop,686.38
2019-08-14,Laptop,1055.73
2019-08-15,Laptop,807.29
2019-08-16,Laptop,533.44
2019-08-17,Laptop,616.31
2019-08-18,Laptop,940.39
2019-08-19,Laptop,607.25
2019-08-20,Laptop,824.47
2019-08-21,Laptop,781.37
2019-08-22,Laptop,617.5
2019-08-23,Laptop,1255.89
2019-08-24,Laptop,905.9
2019-08-25,Laptop,297.5
2019-08-26,Laptop,797.27
2019-08-27,Laptop,602.78
2019-08-28,Laptop,940.82
2019-08-29,Laptop,568.96
2019-08-30,Laptop,718.1
2019-08-31,Laptop,853.32
2019-09-01,Laptop,930.29
2019-09-02,Laptop,470.97
2019-09-03,Laptop,659.97
2019-09-04,Laptop,627.06
2019-09-05,Laptop,586.11
2019-09-06,Laptop,1111.77
2019-09-07,Laptop,812.78
2019-09-08,Laptop,449.34
